set,split,accuracy,MCC,F1,precision,recall,n_total,n_missing
val,10,0.11608666659131751,0.0692996128684458,0.10370063834084371,0.15783054158304047,0.11608666659131751,88477,1939
test,10,0.11625378054167941,0.0695724113746237,0.10447044218367542,0.15903747262820075,0.11625378054167941,88281,1960
val,20,0.1396119431551749,0.10567810172315273,0.16671730399461152,0.3385984963116725,0.1396119431551749,83596,2280
test,20,0.14066294245008792,0.10677193471736278,0.16808991856065392,0.3368126859975965,0.14066294245008792,83597,2216
val,30,0.19951621047192963,0.16143660054274017,0.23658293052163668,0.3927623784013537,0.19951621047192963,85161,2598
test,30,0.19886443620665384,0.1599342517065488,0.2360463652730108,0.387744834114591,0.19886443620665384,85244,2574
val,40,0.3407070299748449,0.31273359521879934,0.36392625996728223,0.4916027983544313,0.3407070299748449,104154,7089
test,40,0.34005888050326527,0.3122630033492936,0.36244132012074726,0.4913536427139331,0.34005888050326527,104279,7057
val,50,0.9326726626289653,0.9272362522861305,0.934040980661841,0.9480671596060797,0.9326726626289653,137537,1619
test,50,0.9325959463093101,0.9271545349440257,0.9336917652086053,0.9477303559289474,0.9325959463093101,137603,1564
val,60,0.9683970281829148,0.966046846777922,0.9785921491148613,0.9901448826163451,0.9683970281829148,145904,3237
test,60,0.9678445787015766,0.9654735300414752,0.9784550808437572,0.9905404815127901,0.9678445787015766,145823,3363
val,70,0.983787090853472,0.9824395423767551,0.9887095935777629,0.9940843704443693,0.983787090853472,147105,1501
test,70,0.983466246416781,0.9820927306751749,0.9885061065821679,0.9940015879840589,0.983466246416781,147214,1544
val,80,0.9877678118124894,0.9865736588342904,0.9915797978091513,0.9954991799779384,0.9877678118124894,147725,1152
test,80,0.9880310421586073,0.9868601022587102,0.9918655346532814,0.9958037339388387,0.9880310421586073,147799,1158
val,90,0.9894384202866247,0.9884057433605542,0.9926609461568044,0.995949943997096,0.9894384202866247,152534,997
test,90,0.989864554787785,0.9888733831268852,0.9930162972144795,0.9962262186929577,0.989864554787785,152534,974
