split,threshold,condition,bin,n,accuracy,MCC,F1_weighted,precision_weighted,recall_weighted
10,0.8,all,0-10%,1476,0.15514905149051492,0.12095528875556896,0.09174560725642528,0.2163013435343694,0.15514905149051492
10,0.8,all,10-20%,49838,0.17924073999759219,0.1205599067587075,0.14056397040918048,0.2223577644280458,0.17924073999759219
10,0.8,all,20-30%,32943,0.192969674892997,0.14227245148511375,0.14754424268161784,0.2588127569098157,0.192969674892997
10,0.8,all,30-40%,3711,0.2357855025599569,0.19656620288091212,0.19887919343057245,0.22724773711510074,0.2357855025599569
10,0.8,all,40-50%,266,0.18796992481203006,0.18770002912861908,0.1364936293688898,0.12632702631758738,0.18796992481203006
10,0.8,all,50-60%,22,0.4090909090909091,0.3768187012114018,0.3216253443526171,0.26623376623376627,0.4090909090909091
10,0.8,all,60-70%,6,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334
10,0.8,all,70-80%,12,1.0,,1.0,1.0,1.0
10,0.8,all,80-90%,7,1.0,,1.0,1.0,1.0
10,0.8,above_threshold,0-10%,24,0.7916666666666666,0.7680802362079758,0.7275641025641025,0.6990740740740741,0.7916666666666666
10,0.8,above_threshold,10-20%,1781,0.8214486243683324,0.7477033662908896,0.7862899945252219,0.7705212077821243,0.8214486243683324
10,0.8,above_threshold,20-30%,3849,0.8836061314627176,0.6547750541116752,0.8656240454016039,0.8637905445937927,0.8836061314627176
10,0.8,above_threshold,30-40%,622,0.8167202572347267,0.6780312992203851,0.7928975992316062,0.7859259314929852,0.8167202572347267
10,0.8,above_threshold,40-50%,67,0.47761194029850745,0.5681743647287968,0.42217484008528783,0.41062629436549314,0.47761194029850745
10,0.8,above_threshold,50-60%,7,0.7142857142857143,0.6172133998483676,0.6428571428571429,0.619047619047619,0.7142857142857143
10,0.8,below_threshold,0-10%,1452,0.1446280991735537,0.11173380263546907,0.08144219425667225,0.08313647432855725,0.1446280991735537
10,0.8,below_threshold,10-20%,48057,0.15544041450777202,0.0981527600905192,0.1196374751081906,0.1625402375203334,0.15544041450777202
10,0.8,below_threshold,20-30%,29094,0.10160170481886299,0.06976050501330146,0.09123482811068337,0.2262168979590818,0.10160170481886299
10,0.8,below_threshold,30-40%,3089,0.11880867594690839,0.08948420672956148,0.10129281723417932,0.15028264962600846,0.11880867594690839
10,0.8,below_threshold,40-50%,199,0.09045226130653267,0.09643800815059973,0.06417175373659924,0.06444547668313556,0.09045226130653267
10,0.8,below_threshold,50-60%,15,0.26666666666666666,0.2876369982026699,0.26666666666666666,0.26666666666666666,0.26666666666666666
