split,method,auc_micro,auc_macro
10,diamond,0.06341031695898257,0.08624624161023464
10,hmm,0.07669883275482192,0.09017749746803384
10,bgf,0.1526317811378089,0.14701912537838333
20,diamond,0.08641312720581502,0.11590249626994703
20,hmm,0.12231794973796549,0.15147885930932325
20,bgf,0.18636003538894355,0.18412386264150166
30,diamond,0.17682262581941025,0.15651852603005184
30,hmm,0.21551300582430116,0.19549132182000994
30,bgf,0.1741794607759569,0.20850452325714508
40,diamond,0.26455489197656235,0.30075603848201315
40,hmm,0.3611243876087525,0.3411106063071898
40,bgf,0.3824840651245692,0.33393378653395295
50,diamond,0.8873622456200733,0.7115976869156999
50,hmm,0.9385915988439674,0.7869678667686417
50,bgf,0.8709971737530681,0.7370713877058411
60,diamond,0.9419662776760848,0.8776122340446522
60,hmm,0.9373312547411946,0.8584958109291165
60,bgf,0.9766312246761908,0.9208409637309409
70,diamond,0.9406928781958152,0.8865909555538872
70,hmm,0.9298509612834649,0.8693669054090334
70,bgf,0.9900398559901028,0.9560524659934113
80,diamond,0.9369481612489956,0.8957246737968152
80,hmm,0.9372629711964751,0.8687468117269461
80,bgf,0.9954554238136024,0.9616933298069421
90,diamond,0.9369729781157101,0.910021010059554
90,hmm,0.9435208566068105,0.8863663811307629
90,bgf,0.9955226729700216,0.9698934383310975
