split,method,precision_covered,precision_covered_macro
10,bgf,0.7052793619286017,0.6212915411072094
10,hmm,0.5582241198247743,0.3981060501687891
10,diamond,0.36436047456450193,0.34859260791370755
20,bgf,0.7110420033671124,0.6690821256038648
20,hmm,0.6690139163078529,0.537658533920741
20,diamond,0.5704377954474074,0.4288212267420442
30,bgf,0.8831545643494728,0.6681924363911863
30,hmm,0.7167046388284988,0.4937869480457394
30,diamond,0.6025456019991079,0.3926691628534446
40,bgf,0.9131519377804976,0.7545337908523572
40,hmm,0.7944496897209998,0.64278923782528
40,diamond,0.7431259620017926,0.5924488686841879
50,bgf,0.9641515759323617,0.9305382959777405
50,hmm,0.9848499359113806,0.9277897380794814
50,diamond,0.9820647364379125,0.936887611601288
60,bgf,0.9892819165636381,0.9642530174569393
60,hmm,0.9918144469516019,0.967108147499548
60,diamond,0.9930407097562032,0.9718298639334982
70,bgf,0.9940434208467164,0.9777591952782718
70,hmm,0.9936860726943364,0.9735045632635043
70,diamond,0.9946916598065756,0.9778449012854273
80,bgf,0.9961186369262968,0.9906586959056327
80,hmm,0.9956973719877232,0.9727642070031745
80,diamond,0.9961847530630688,0.9828352591098953
90,bgf,0.9960909440713177,0.9881024737450661
90,hmm,0.9956691691674784,0.9820643267224565
90,diamond,0.9966782414549729,0.9880668133392505
