"","cycle","pathway","vs_Alignment","vs_HMM","vs_KEGG"
"1","Methane","Aceticlastic methanogenesis",0.817568670111504,0.766457600326347,1.59870240374388
"2","Nitrogen","Annamox",NA,NA,NA
"3","Nitrogen","Assimilatory nitrate reduction",1.29308005427408,0.232609226263119,1.18238213399504
"4","Sulphur","Assimilatory sulphate reduction",6.39303118908382,2.10097693786035,8.50194426441996
"5","Methane","Central methanogenic pathway",1.02939961443129,0.78972110712022,0.961726489129036
"6","Methane","Central methanogenic pathway, AOM",3.03524795110432,1.68539694170732,4.94864681236553
"7","Nitrogen","Denitrication",0.196352919506355,1.11389759665622,2.4199772985244
"8","Nitrogen","Dissimilatory nitrate reduction",4.75198587819947,0.84033088809115,7.2171581769437
"9","Sulphur","Dissimilatory sulphur reduction and oxidation",1.83659991478483,0.926889581765402,2.32121701669359
"10","Sulphur","Linkages between inorganic and organic sulphur transformation",5.68499614791988,2.54321040840944,7.54222562923214
"11","Methane","Methylotrophic methanogenesis",3.52591463414634,0.970523444875695,3.57911025145068
"12","Nitrogen","Nitrification",0.0643642072213501,0.106217616580311,0.0314176245210728
"13","Nitrogen","Nitrogen fixation",10.3617283950617,9.06371490280778,19.3833718244804
"14","Nitrogen","Organic degradation and synthesis",1.41011235955056,1.18567887376643,4.63539952459316
"15","Phosphorus","Organic phosphoester hydrolysis",2.61326378539493,0.788267026298044,2.09748803827751
"16","Sulphur","Organic sulphur transformation",4.44300780121352,0.506935344294721,19.8288201160542
"17","Methane","Oxidation of formaldehyde",2.22536040011768,1.26234979973298,11.1728212703102
"18","Methane","Oxidation of formate",1.07179487179487,0.464089931302477,1.31549960660897
"19","Methane","Oxidation of methane and C1 compounds",0.155606407322654,0.026297979309678,0.224237427864798
"20","Phosphorus","Oxidative phosphorylation",4.19251700680272,3.91301587301587,12.1318897637795
"21","Phosphorus","Pentose phosphate pathway",1.23680436029834,1.39598510603853,1.71909888357257
"22","Phosphorus","Phosphonate and phosphinate metabolism",0.0973134328358209,0.00953829949090058,0.111262798634812
"23","Phosphorus","Phosphotransferase system",NA,NA,NA
"24","Phosphorus","Purine metabolism",4.38204605541989,3.71244400369319,6.17010514350668
"25","Phosphorus","Pyrimidine metabolism",1.05498339995935,1.00380362956516,1.4358631501291
"26","Phosphorus","Pyruvate metabolism",0.538028169014084,0.452543554006969,0.541076487252125
"27","Nitrogen","Related Nitrogen genes",NA,NA,NA
"28","Phosphorus","Related phosphorus genes",2.2034632034632,0.716396903589022,2.52136222910217
"29","Sulphur","Related sulphur genes",3.95269981478843,0.597789317187736,9.82088495575221
"30","Methane","RuMP cycle",1.12220642015441,0.964972047519217,1.55898955687271
"31","Sulphur","SOX systems",5.45056403450564,3.12676056338028,3.4068851099129
"32","Methane","Serine cycle",1.56078749215645,0.970888155219803,2.89215638777191
"33","Sulphur","Sulphur disproportionation",NA,NA,NA
"34","Sulphur","Sulphur oxidation",1.99325463743676,1.17278525868179,3.97406340057637
"35","Sulphur","Sulphur reduction",0.590304925723221,0.246743545450301,1.14542696142176
"36","Phosphorus","Transporters",4.92618866649776,1.12449636612496,8.85278494460464
"37","Phosphorus","Two-component system",3.98265939724368,0.452402866063979,12.8280487804878
