,esm_ckpt,freeze_backbone,status,timestamp,train_loss,eval_loss,eval_accuracy,eval_MCC,eval_F1,eval_precision,eval_recall,do_lora,lora_rank
0,facebook/esm2_t6_8M_UR50D,True,ok,2026-08-12 15:12:59,0.853077,3.89339,0.128474,0.0680938,0.146378,0.249755,0.128474,True,16
1,facebook/esm2_t12_35M_UR50D,True,ok,2026-08-12 15:35:37,0.734124,3.32992,0.257759,0.201571,0.299617,0.472622,0.257759,True,16
2,facebook/esm2_t30_150M_UR50D,True,ok,2026-08-12 16:25:38,0.707786,3.39108,0.215369,0.176863,0.250388,0.470237,0.215369,True,16
3,facebook/esm2_t33_650M_UR50D,True,failed,2026-08-12 17:14:36,,,,,,,,True,16
4,facebook/esm2_t30_150M_UR50D,True,ok,2026-08-13 07:09:16,0.912317,3.73634,0.13559,0.0909656,0.16073,0.36315,0.13559,False,8
5,facebook/esm2_t30_150M_UR50D,False,ok,2026-08-13 07:43:18,0.678222,3.63108,0.193023,0.151445,0.227505,0.409334,0.193023,False,8
6,facebook/esm2_t6_8M_UR50D,False,ok,2026-08-13 08:00:21,0.737917,3.75895,0.15614,0.0997895,0.172941,0.246589,0.15614,False,8
7,facebook/esm2_t6_8M_UR50D,True,ok,2026-08-13 08:20:40,1.61025,3.77574,0.111624,0.0392371,0.108642,0.228381,0.111624,False,8
8,facebook/esm2_t12_35M_UR50D,False,ok,2026-08-13 08:40:56,0.687261,3.56039,0.218715,0.162445,0.256583,0.424872,0.218715,False,8
9,facebook/esm2_t12_35M_UR50D,True,ok,2026-08-13 09:11:18,1.06954,3.56299,0.15183,0.0941487,0.17456,0.294437,0.15183,False,8
